qtype,prompt,options_json,answer,topic,difficulty,language_id,tests_json
mcq,Which HTTP method is idempotent?,"[""GET"", ""POST"", ""PATCH"", ""CONNECT""]",GET,Web,easy,,
mcq,Which creates a Flask app?,"[""app = Flask(__name__)"", ""Flask.run()"", ""start_flask()"", ""Flask()""]",app = Flask(__name__),Flask,easy,,
mcq,Which SQL join returns rows from both tables?,"[""INNER JOIN"", ""LEFT JOIN"", ""RIGHT JOIN"", ""FULL OUTER JOIN""]",FULL OUTER JOIN,SQL,medium,,
mcq,Correct Python function definition?,"[""function add(x,y):"", ""def add(x,y):"", ""func add(x,y):"", ""def add x,y:""]","def add(x,y):",Python,easy,,
mcq,Which status code means Not Found?,"[""200"", ""301"", ""404"", ""500""]",404,Web,easy,,
mcq,Flask development server is suitable for…,"[""Production"", ""Unit tests/dev"", ""High load"", ""Kubernetes""]",Unit tests/dev,Flask,easy,,
mcq,Which SQL keyword filters rows?,"[""ORDER BY"", ""GROUP BY"", ""WHERE"", ""LIMIT""]",WHERE,SQL,easy,,
mcq,Python list is…,"[""Immutable"", ""Mutable"", ""Compiled"", ""Pointer""]",Mutable,Python,easy,,
mcq,Which HTML tag is used for forms?,"[""<div>"", ""<form>"", ""<table>"", ""<input>""]",<form>,HTML,easy,,
mcq,SQL to count rows?,"[""COUNT(*)"", ""SUM(id)"", ""SIZE(*)"", ""COUNT_ROWS()""]",COUNT(*),SQL,easy,,
mcq,Flask template engine is…,"[""Jinja2"", ""EJS"", ""Pug"", ""Mustache""]",Jinja2,Flask,easy,,
mcq,Prevent SQL injection by…,"[""String concat"", ""Parameterized queries"", ""Disable DB"", ""Print queries""]",Parameterized queries,SQL,medium,,
mcq,Add an element to a list?,"[""list.add(x)"", ""list.push(x)"", ""list.append(x)"", ""list.put(x)""]",list.append(x),Python,easy,,
mcq,Open a file for reading?,"[""open('f','x')"", ""open('f','w')"", ""open('f','r')"", ""open('f','rw')""]","open('f','r')",Python,easy,,
mcq,CSS for responsive layout?,"[""Grid/Flexbox"", ""Tables"", ""<center>"", ""Marquee""]",Grid/Flexbox,CSS,medium,,
mcq,Which HTTP status means success?,"[""200"", ""301"", ""403"", ""500""]",200,Web,easy,,
mcq,Which SQL clause groups rows?,"[""WHERE"", ""GROUP BY"", ""ORDER BY"", ""HAVING""]",GROUP BY,SQL,medium,,
mcq,Which keyword defines a function in Python?,"[""func"", ""function"", ""def"", ""lambda""]",def,Python,easy,,
mcq,Which HTML tag defines a hyperlink?,"[""<a>"", ""<link>"", ""<href>"", ""<nav>""]",<a>,HTML,easy,,
mcq,Which HTTP method is used to create a resource?,"[""GET"", ""POST"", ""DELETE"", ""HEAD""]",POST,Web,easy,,
mcq,"In Python, what is len('aa')?","[""3"", ""2"", ""1"", ""4""]",2,Python,medium,,
mcq,Which SQL function returns the number of rows?,"[""COUNT(*)"", ""SUM(id)"", ""AVG(id)"", ""SIZE(*)""]",COUNT(*),SQL,medium,,
mcq,Which HTTP method is safe and read-only?,"[""GET"", ""POST"", ""PUT"", ""DELETE""]",GET,Web,medium,,
mcq,"In Python, what is len('aaa')?","[""2"", ""5"", ""3"", ""4""]",3,Python,hard,,
mcq,"In Python, what is len('aaaa')?","[""6"", ""3"", ""5"", ""4""]",4,Python,easy,,
mcq,"In Python, what is len('aaaaa')?","[""4"", ""7"", ""6"", ""5""]",5,Python,easy,,
mcq,"In Python, what is len('a')?","[""2"", ""1"", ""3"", ""0""]",1,Python,easy,,
